ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-08-26,11.426958818474239,8.622045984430583,14.097123175800908,11.211527237884635,11.654620091061421,-0.014174324624762986,-0.014174324624762986,-0.014174324624762986,0.042643633516199556,0.042643633516199556,0.042643633516199556,-0.05681795814096254,-0.05681795814096254,-0.05681795814096254,0.0,0.0,0.0,11.412784493849475
2023-08-27,11.427684734472782,8.723152318060102,13.955180576894605,11.211527637119618,11.656020495440075,-0.12383361596543024,-0.12383361596543024,-0.12383361596543024,-0.0708389307607225,-0.0708389307607225,-0.0708389307607225,-0.052994685204707744,-0.052994685204707744,-0.052994685204707744,0.0,0.0,0.0,11.303851118507351
2023-08-28,11.428410650471323,8.744345510706506,14.17756205112105,11.211528036354602,11.65742089981873,-0.07448393315548811,-0.07448393315548811,-0.07448393315548811,-0.025336235198265226,-0.025336235198265226,-0.025336235198265226,-0.0491476979572229,-0.0491476979572229,-0.0491476979572229,0.0,0.0,0.0,11.353926717315835
2023-08-29,11.429136566469863,8.671496168871291,13.935280693278559,11.211528435589585,11.658821304197382,-0.24945703124956276,-0.24945703124956276,-0.24945703124956276,-0.2041446097879057,-0.2041446097879057,-0.2041446097879057,-0.04531242146165707,-0.04531242146165707,-0.04531242146165707,0.0,0.0,0.0,11.1796795352203
2023-08-30,11.429862482468407,8.734989080057037,14.06824540902166,11.211825959008332,11.66014145523839,-0.04226118235186862,-0.04226118235186862,-0.04226118235186862,-0.0007380478027992163,-0.0007380478027992163,-0.0007380478027992163,-0.0415231345490694,-0.0415231345490694,-0.0415231345490694,0.0,0.0,0.0,11.387601300116538
2023-08-31,11.430588398466947,9.093386413336281,14.256823273334625,11.211811947807371,11.661266718205932,0.1711964841619001,0.1711964841619001,0.1711964841619001,0.20900794999959482,0.20900794999959482,0.20900794999959482,-0.037811465837694735,-0.037811465837694735,-0.037811465837694735,0.0,0.0,0.0,11.601784882628847
2023-09-01,11.431314314465487,8.663604654610916,14.152810799951734,11.21179793660641,11.66213280242927,0.015201219801874976,0.015201219801874976,0.015201219801874976,0.04940624003272715,0.04940624003272715,0.04940624003272715,-0.03420502023085217,-0.03420502023085217,-0.03420502023085217,0.0,0.0,0.0,11.446515534267363
2023-09-02,11.43204023046403,8.967688436256033,14.028450656863129,11.21178392540545,11.66356244487013,0.01191744998280933,0.01191744998280933,0.01191744998280933,0.042643633516208014,0.042643633516208014,0.042643633516208014,-0.030726183533398684,-0.030726183533398684,-0.030726183533398684,0.0,0.0,0.0,11.44395768044684
2023-09-03,11.432766146462571,8.573155319832734,14.125479396966695,11.21176991420449,11.665105468436833,-0.09823007699824678,-0.09823007699824678,-0.09823007699824678,-0.07083893076077533,-0.07083893076077533,-0.07083893076077533,-0.027391146237471447,-0.027391146237471447,-0.027391146237471447,0.0,0.0,0.0,11.334536069464324
2023-09-04,11.433492062461113,8.540036919321016,14.052998283639123,11.21175590300353,11.666395371808495,-0.04954541490730304,-0.04954541490730304,-0.04954541490730304,-0.025336235198431173,-0.025336235198431173,-0.025336235198431173,-0.024209179708871875,-0.024209179708871875,-0.024209179708871875,0.0,0.0,0.0,11.38394664755381
